time,Actinobaculum,Actinomyces,Peptidiphaga,Schaalia,Varibaculum,Bifidobacterium,Brachybacterium,Rothia,Corynebacterium,GGB10024,Nocardiopsis,Collinsella,Eggerthella,GGB9365,Gordonibacter,Bacteroides,Phocaeicola,Coprobacter,Butyricimonas,Leyella,Paraprevotella,Prevotella,Segatella,Alistipes,Parabacteroides,Candidatus_Saccharibacteria_unclassified,Kurthia,Gemella,Mammaliicoccus,Staphylococcus,Granulicatella,Enterococcus,Vagococcus,Lactobacillus,Leuconostoc,Limosilactobacillus,Weissella,Lactococcus,Streptococcus,GGB3109,GGB3363,GGB9715,GGB51510,GGB58233,GGB48159,GGB55957,Acutalibacter,Agathobaculum,Clostridium,Pilosibacter,Eubacterium,Eubacteriales_Family_XIII_Incertae_Sedis_unclassified,Lentihominibacter,Zhenpiania,Candidatus_Cibionibacter,Flintibacter,Gemmiger,Intestinimonas,Anaerotruncus,Bittarella_ex_Durand_et_al_2017,Brotocaccenecus,Dysosmobacter,Faecalibacterium,Flavonifractor,GGB45648,GGB9469,Hominenteromicrobium,Hominilimicola,Massiliimalia,Merdimmobilis,Oscillibacter,Oscillospiraceae_unclassified,Pusillibacter,Ruminococcus,Ruthenibacterium,Agathobacter,Anaerobutyricum,Anaerostipes,Anthropogastromicrobium,Blautia,Coprococcus,Dorea,Enterocloster,Faecalicatena,Faecalimonas,Fusicatenibacter,GGB74412,Gallintestinimicrobium,Hungatella,Lachnoclostridium,Lachnospira,Lachnospiraceae_unclassified,Mediterraneibacter,Oliverpabstia,Robinsoniella,Roseburia,Sellimonas,Simiaoa,Waltera,Wansuia,Emergencia,Mogibacterium,Clostridioides,Intestinibacter,Romboutsia,Terrisporobacter,Coprobacillus,Faecalibacillus,Thomasclavelia,Amedibacillus,Dielma,Erysipelotrichaceae_unclassified,Holdemanella,Turicibacter,Acidaminococcus,Phascolarctobacterium,Megamonas,Anaeroglobus,Dialister,Megasphaera,Veillonella,Anaerococcus,Fusobacterium,Parasutterella,Sutterella,GGB6606,Citrobacter,Cronobacter,Enterobacter,Escherichia,Klebsiella,Kluyvera,Kosakonia,Leclercia,Pseudocitrobacter,Raoultella,Morganella,Providencia,Acinetobacter,Haemophilus,Bilophila,Desulfovibrio,GGB9813,Akkermansia
13,0,0,0,0,0,14.7917,0,0,0,0,0,1.16296,0.89547,0,0.03539,20.27247,12.09631,0,0.16673,0,1.88819,0,0,0.75682,1.24615,0,0,0,0,0,0,0.56596,0,0,0,0.03514,0.00519,0,0,0.1988,0.00164,0,0.07003,0.02736,0.0306,0.04819,0,0,0.16985,0,0.11118,0,0.23672,0.04848,0,0.2204,0,0.03029,0,0.18565,0,0,0.00696,1.65271,0.06124,0.75833,0,0,0.07888,0.10443,0,0.04453,0.25768,0.0032,1.12193,0.0057,0.00193,0.00538,0,1.04596,0.04735,0.00033,3.78653,0.00167,0.28407,0.00548,0,0,0.18644,0.96337,0,0,3.16016,0,0.01312,7.01818,0.2387,0,0,0.48035,0,0,0.00216,0.07225,0.02865,0,0.00157,0.42278,0.03802,0.00443,0.27686,0.51238,2.43455,0,0,1.07918,7.70599,0.01047,0,0,0.00259,0,0.34914,3.15272,0,0,0,0,0.00208,4.62966,1.89594,0,0,0,0,0,0,0,0,0,0.74632,0,0,0
14,0,0,0,0,0,7.79356,0,0,0,0,0,1.23296,0.3707,0,0.02935,20.17608,9.71176,0,0.29656,0,1.75024,0,0,1.22069,1.38889,0,0,0,0,0,0,1.642,0,0,0,0.10114,0.13215,0.14902,0,0.12783,0,0,0.05518,0.02137,0.07761,0.02938,0,0,0.11362,0,0.12566,0,0.27907,0.09658,0,0.24488,0,0.07229,0.00865,0.12067,0,0,0,1.63777,0.06525,0.79216,0,0,0.11674,0.12983,0,0.03788,0.35822,0.00011,0.54969,0.00247,0,0,0,1.76723,0.05107,0,2.88879,0,0.65463,2e-04,0,0,0.22367,0.98587,0,0,3.68237,0,0.01633,11.37953,0.27821,0,0,0.3067,0.14951,0,0.05262,0.1608,0.81946,0.0013,0.0045,0.52381,0.03932,0.00046,0.22722,0.38361,1.52237,0.00759,0,1.06392,6.70898,0.16615,0,0,0,0,0.69246,1.87268,0,0,0.23265,0,1.90219,8.13662,1.3436,0,0.00454,0.01599,0,0,0.00401,0.033,0,0,0.62798,0.01004,0,0
15,0,0,0,0,0,20.55032,0,0,0,0,0,1.11042,0.14684,0,0.01124,18.27411,11.52181,0,0.44677,0,4.9227,0,0.00406,1.10963,1.11063,0,0,0,0,0,0,1.06251,0,0,0,2.19059,0.39575,0.11073,0,0.15469,0.00406,0,0.06975,0.00809,0.07619,0.01997,0,0,0.05976,0,0.21795,0,0.11942,0.09209,0,0.12344,0,0.14688,0.00574,0.04616,0,0,0.00224,1.01676,0.02278,0.54894,0,0,0.11874,0.03951,0,0.03624,0.20986,0.00016,0.31551,0.00076,0,0.00672,0,1.56882,0.04474,2e-04,2.2854,0,0.46786,0.00568,0.00463,0,0.3705,0.70709,0,0,3.53616,0,0.01832,5.30543,0.31977,0,0,0.17654,0.06231,0,0.02638,0.23364,0.11267,0,0.00951,1.05832,0.04433,0.00157,0.22076,0.22173,1.88903,0.01161,0,0.71263,8.85026,0.04719,0,0,0.00818,0,0.98025,1.39429,0,0,0.065,0,0.19114,1.96124,0.27874,0,0,0.00187,0,0,0,0,0,0.06428,0.30704,0.00439,0,0
16,0,0,0,0,0,8.80623,0,0,0,0,0,0.9487,0.2179,0,0.01218,17.94688,8.66483,0,0.1243,0,3.65783,0,0.04232,1.02963,1.15039,0,0,0,0,0,0,0.88773,0,0,0,0.05283,0.07927,0.08562,0,0.093,0.00873,0,0.06943,0.00754,0.00897,0.02142,0,0,0.1337,0,0.25169,0,0.36698,0.08951,0,0.09173,0,0.23032,0.00304,0.06895,0,0,0.02134,0.932,0.02341,0.74749,0,0.00079,0.16663,0.01287,0,0.07403,0.21945,0.00532,0.49032,0.00637,0.01298,0.01884,0.00085,1.71076,0.05146,0,1.61457,0.00378,0.38048,0.02718,0,0,0.29926,0.7064,0,0,3.6971,0,0.02866,6.05555,0.44366,0,0,0.34534,0.01262,0,0,0.2226,0.76677,0,0.02276,1.22288,0.03233,0.00058,0.30264,0.24525,1.89314,0,0.00165,0.55163,15.23154,0.02738,0,0,0.01438,0,0.08238,0.86328,0,0,0.00059,0,0.09099,13.67664,1.28833,0,0,0,0,0,0,0,0,0,0.19455,0.00653,0,0
17,0,0,0,0,0,5.86958,0,0,0,0,0,0.97001,0.18613,0,0.00456,20.32239,4.41528,0,0.11067,0,3.21165,0,0.05888,0.8401,13.41191,0,0,0,0,0,0,1.89688,0,0,0,0.01504,0.54388,0.06251,0.02198,0.11282,0,0,0.05033,0.00493,0.0015,0.01873,0,0,0.05648,0,0.14232,0,0.22197,0.04145,0.00119,0.03671,0.00072,0.01792,0,0.05211,0,0,0.02831,0.99236,0.03556,2.38272,0.0016,0.0013,0.50848,0.05823,0,0.49946,0.07064,0.00774,0.38328,0.01304,0.01058,0.01971,0,1.75491,0.00946,0.00135,1.14929,0,0.71813,0.06334,0,0,0.1762,0.47822,0,0,4.95706,0,0.0028,2.32607,0.2633,0,0,0.20273,0,0,0,0.09737,0.00898,0,0.00333,1.47864,0.02873,0,0.08993,0.12989,1.64842,0,0,1.14464,16.811,0.0181,0.00714,0,0.00961,0,0.08125,1.19588,0,0,0.02424,0.00284,1.27456,2.61479,3.22981,0.0048,0,0,0,0.00246,0,0,0.02584,0,0.25128,0,0,0
18,0,0,0,0,0,8.47025,0,0,0,0,0,1.30602,0.23462,0,0.02482,33.66964,6.48424,0,0.81094,0,1.20889,0,0.00378,2.29044,7.27854,0,0,0,0,0,0,0.83916,0,0,0,0.01652,0.38657,0.02936,0.09904,0.15437,0,0,0.05908,0.00986,0.00387,0.01244,0,0.00103,0.15683,0,0.54153,0,0.45463,0.15147,0,0.0563,0,0.09481,0.0078,0.11132,0,0,0.03873,0.99329,0.08711,2.84965,0,0,0.76271,0.10814,0,0.68741,0.21462,0.00868,2.30181,0.01208,0.00897,0.02807,0,2.48611,0.01617,0.00675,1.83523,0.0036,0.88519,0.04887,0,0,0.69126,0.65372,0,0,7.65366,0.00213,0.05803,1.04724,0.33315,0,0,0.32789,0.15336,0,0.02196,0.18546,0.10243,0.02786,0.02014,1.79131,0.06815,0,0.08942,0.41344,1.93456,0,0,1.16263,0.63476,0.18267,0.00561,0,0,0,0.63934,0.68217,0,0,0.03238,0,0.03136,2.07002,0.25964,0.00281,0,0,0.00514,0.00074,0,0,0.0029,0,0.34266,0.01863,0,0
19,0,0.08877,0,0,0,10.61573,0,0,0,0,0,1.27721,0.14795,0,0.01563,28.96101,3.83149,0,0.50029,0,2.11431,0,0.04735,4.04803,5.15468,0,0,0,0,0,0,0.69079,0,0,0,0.00208,0.17218,0,0,0.17458,0.02221,0,0.04456,0.02934,0.00311,0.02453,0,0.00071,0.06303,0,0.41719,0,0.21864,0.24435,0,0.1534,0,0.5069,0.00685,0.08941,0,0,0.01699,1.67066,0.11681,3.04107,0.00248,0,1.70726,0.12945,0,0.87439,0.40376,0.00543,1.30666,0.00542,0.00565,0.02981,0,0.62263,0.01786,0.00087,4.12901,0,0.18189,0.04788,0,0,0.61752,0.80744,0,0,2.33744,0.00063,0.01442,7.11705,0.33077,0,0,0.62376,0.02928,0,0,0.11296,0.00029,0,0.00162,1.39035,0.16,0.00011,0.16729,0.33199,1.59536,0,0,0.71327,1.45033,0.29174,0.00724,0,0,0,0.63417,1.83963,0,0,0,0,1.10285,1.4209,2.26119,0,0,0,0,0.00013,0,0,0,0,0.65561,0.00239,0,0
20,0,0.00025,0,0,0,19.02868,0,0,0,0,0,2.66779,0.40577,0,0.0541,25.74131,3.5973,0,0.40785,0,1.77688,0,0.07106,3.44844,9.81301,0,0,0,0,0,0,0.90452,0,0,0,0.00081,0.07191,0,0.00602,0.19419,0,0,0.06246,0.02651,0.03869,0.00335,0,0,0.05967,0,0.72526,0,0.13373,0.20245,0,0.02528,0,0.17831,0,0.08698,0,0,0.02997,2.24153,0.09335,4.33627,0,0,1.34919,0.09379,0,1.05652,0.22315,0.00148,1.13395,0.00472,0.0014,0.02647,0,0.33631,0,0,2.02343,0.00037,0.06918,0.03553,0,0,0.25858,0.54338,0,0,1.86025,0,0.03358,1.575,0.69454,0,0,0.38103,0,0,0,0.09916,0.00895,0,0,0.41529,0.02222,0.00235,0.04789,0.19935,0.85269,0,0.00189,0.64475,1.8276,0.64866,0.00349,0.00192,0,0,0.14882,2.6118,0,0,0.00844,0,0.00803,2.11528,1.17839,0,0,0,0,0,0,0,0,0,1.01749,0,0,0
21,0,0.00202,0,0,0,22.33819,0,0,0,4e-05,0.00064,3.62022,0.89783,0,0.05109,9.60018,2.15137,0,0.04286,0,2.11868,0,0,0.49076,6.12116,0,0.05231,0.00026,0,0,0,0.82342,0,0,0.0625,0.04843,1.0117,0.04779,0.03185,0.13401,0.00721,0,0.08482,0.03917,0.04797,0.04599,0,0,0.04599,0,0.44314,0,0.08135,0.08037,0,0.11144,0.00145,0,0,0.13737,0,0,0.0286,1.90669,0.02636,2.14574,0.00153,0,1.70212,0.15512,0,1.4482,0.06378,0.0054,0.54725,0.0034,0.00303,0.02744,0,0.44274,0.02311,0.00037,3.59843,0.00371,0.20293,0.03929,0,0,0.14233,0.77699,0,0,1.24767,0,0,1.6379,0.75263,0,0,1.00232,0,0,0,0.24921,0,0,0,2.29842,0.13654,0.00706,0.07657,0.19374,3.15007,0,0,2.01781,15.97294,0.15557,0.01808,0,0,0,0.05116,2.80136,0,0,0,0,0.08677,2.91896,0.43645,0,0,0,0,0,0,0,0,0,0.72061,0,0,0
22,0.00173,0.00905,0,0.0034,0,34.40191,0,0,0,0,8e-04,6.52813,1.13288,0,0.17352,6.77617,2.0295,0,0.08428,0,0.20998,0,0.01733,0.36204,1.15171,0.0036,0,0.00827,0,0,0.00037,2.13641,0,0,0.32124,0.29219,0.5102,0.20947,0.05654,0.1179,0,0,0.06332,0.02508,0.01188,0.00552,0,0,0.04738,0,1.00231,0.01228,0.23534,0.52244,0,0.05463,0,0,0,0.08165,0,0,0.00623,1.2968,0.04877,1.35504,0,0,1.26575,0.11799,0,1.05606,0.10271,0,0.73216,0.00329,0,0.00399,0,0.56415,0.006,0,3.47176,0,1.05307,0.01096,0,0,0.203,0.47776,0,0,4.10129,0,0,1.05386,0.85192,0,0,0.88557,0,0.00071,0.00657,0.24603,0.01086,0,0,3.1495,0.18015,0.00303,0.03602,0.4145,3.55291,0.01801,0,2.25378,3.38177,0.20151,0.03586,0,0,0,0.18261,1.96133,0,0,0.01403,0,0.00648,5.44041,0.8906,0.00161,0,0,0,0,0,0,0,0,0.74152,0.00161,0,0
23,0,0,0,0,0,15.07837,0,0,0,0,0,1.86712,0.2454,0,0.02426,20.0051,4.54675,0,0.22721,0.00406,4.03548,0,0.01653,1.06116,10.67394,0,0.01513,0,0,0,0,1.30384,0,0,0.45618,0.05804,0.29392,0.39288,0,0.15462,0,0.00241,0.04618,0.05271,0.03293,0.05099,0.00516,0,0.08017,0,0.31651,0,0.21755,0.20155,0.00153,0.20697,0,0.03262,0,0.1501,0,0,0.04269,1.83229,0.03219,4.0888,0,0,2.59462,0.11325,0,1.56947,0.40409,0.01274,1.02194,0.01259,0.01078,0.02379,0,0.19276,0.02292,0.00065,2.39341,0.00776,0.10895,0.04304,0,0,0.16545,0.87534,0,0,1.82226,0.00564,0,3.21361,0.34344,0,0.00069,0.93596,0,0,0,0.08511,0.00883,0,0,0.59128,0.06754,0.00389,0.0675,0.22447,1.1768,0.00647,0.0026,0.79806,6.18392,0.74456,0.02583,0,0.00083,0,0.32386,3.48233,0.00295,0.00885,0,0,0.04939,1.05626,0.42761,0,0,0,0,0,0,0,0,0,0.91259,0,0,0
